model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,88.09,86.73,89.68,"(-1.36, +1.59)",696.0,2024-08-13
gpt-4o-2024-08-06_guided,87.75,86.73,89.1,"(-1.02, +1.35)",625.0,2024-08-13
gpt-4o-2024-08-06,86.55,85.17,88.02,"(-1.38, +1.47)",616.0,2024-08-13
gpt-4o-mini_guided,86.27,84.84,87.73,"(-1.43, +1.46)",678.0,2024-08-13
mistral_large_2,80.96,79.15,82.66,"(-1.81, +1.70)",684.0,2024-08-13
gpt-4o-mini,80.09,78.09,82.14,"(-2.00, +2.05)",631.0,2024-08-13
llama3_1_405b_guided,79.47,77.47,81.08,"(-2.00, +1.61)",649.0,2024-08-13
llama3_1_70b_guided,78.29,76.64,80.52,"(-1.65, +2.23)",646.0,2024-08-13
llama3_1_70b_awq_int4_guided,74.17,71.77,76.36,"(-2.40, +2.19)",640.0,2024-08-13
llama3_70b_guided,72.34,70.16,74.6,"(-2.18, +2.26)",583.0,2024-08-13
llama3_1_405b,72.2,70.11,74.45,"(-2.09, +2.25)",662.0,2024-08-13
llama3_1_70b_fp8_guided,69.92,67.86,72.17,"(-2.06, +2.25)",567.0,2024-08-13
llama3_1_70b,66.08,63.41,68.11,"(-2.67, +2.03)",681.0,2024-08-13
llama3_1_70b_awq_int4,63.82,61.24,66.12,"(-2.58, +2.30)",641.0,2024-08-13
llama3_1_70b_fp8,59.82,57.03,62.43,"(-2.79, +2.61)",609.0,2024-08-13
llama3_70b_fp8,59.59,57.55,61.83,"(-2.04, +2.24)",614.0,2024-08-13
llama3_70b,52.7,50.12,55.09,"(-2.58, +2.39)",605.0,2024-08-13
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-08-13
llama3_70b_awq_int4,49.53,47.44,51.74,"(-2.09, +2.21)",575.0,2024-08-13
