model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,89.66,88.29,91.22,"(-1.37, +1.56)",690.0,2024-08-06
claude-3-5-sonnet-20240620,86.39,84.92,87.83,"(-1.47, +1.44)",567.0,2024-08-06
gpt-4o-mini,85.19,83.68,86.99,"(-1.51, +1.80)",668.0,2024-08-06
mistral-large-2407,82.32,80.91,84.16,"(-1.41, +1.84)",623.0,2024-08-06
gemini-1.5-pro-api-0514,76.55,74.54,78.47,"(-2.01, +1.92)",676.0,2024-08-06
llama3_1_70b,68.05,65.9,70.0,"(-2.15, +1.95)",687.0,2024-08-06
claude-3-opus-20240229,67.29,65.03,69.49,"(-2.26, +2.20)",541.0,2024-08-06
llama-3.1-405b-instruct,67.14,64.95,69.29,"(-2.19, +2.15)",633.0,2024-08-06
gemma-2-27b-it,59.57,57.49,61.98,"(-2.08, +2.41)",577.0,2024-08-06
llama3_1_70b_fp8,58.08,55.74,60.41,"(-2.34, +2.33)",604.0,2024-08-06
llama3_1_70b_fp8_1,57.81,54.77,60.05,"(-3.04, +2.24)",619.0,2024-08-06
llama3_1_70b_fp8_2,57.31,54.85,60.0,"(-2.46, +2.69)",609.0,2024-08-06
llama3_1_70b_awq_int4,57.01,54.67,59.39,"(-2.34, +2.38)",619.0,2024-08-06
llama3_1_70b_awq4,51.26,48.57,53.83,"(-2.69, +2.57)",592.0,2024-08-06
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-08-06
mixtral-8x22b-instruct-v0.1,36.15,33.68,37.79,"(-2.47, +1.64)",430.0,2024-08-06
gpt-3.5-turbo-0125,17.81,16.19,19.34,"(-1.62, +1.53)",329.0,2024-08-06
