model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,88.09,86.63,89.57,"(-1.46, +1.48)",696.0,2024-08-11
gpt-4o-2024-08-06_guided,87.75,86.31,89.26,"(-1.44, +1.51)",625.0,2024-08-11
gpt-4o-2024-08-06,86.55,85.17,88.2,"(-1.38, +1.65)",616.0,2024-08-11
gpt-4o-mini_guided,86.27,84.85,87.73,"(-1.42, +1.46)",678.0,2024-08-11
mistral_large_2,80.96,79.11,82.74,"(-1.85, +1.78)",684.0,2024-08-11
gpt-4o-mini,80.09,78.08,82.04,"(-2.01, +1.95)",631.0,2024-08-11
llama3_1_405b_guided,79.47,77.33,81.07,"(-2.14, +1.60)",649.0,2024-08-11
llama3_1_70b_guided,78.29,76.63,80.05,"(-1.66, +1.76)",646.0,2024-08-11
llama3_1_405b,72.2,70.21,74.46,"(-1.99, +2.26)",662.0,2024-08-11
llama3_1_70b,66.08,63.65,68.1,"(-2.43, +2.02)",681.0,2024-08-11
llama3_1_70b_awq_int4,63.82,61.34,66.0,"(-2.48, +2.18)",641.0,2024-08-11
llama3_1_70b_fp8,59.82,57.28,62.72,"(-2.54, +2.90)",609.0,2024-08-11
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-08-11
