model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,88.09,86.46,89.5,"(-1.63, +1.41)",696.0,2024-08-19
gpt-4o-2024-08-06_guided,87.75,86.11,89.28,"(-1.64, +1.53)",625.0,2024-08-19
gpt-4o-2024-08-06,86.55,85.15,88.04,"(-1.40, +1.49)",616.0,2024-08-19
gpt-4o-mini_guided,86.27,84.69,87.83,"(-1.58, +1.56)",678.0,2024-08-19
mistral_large_2_guided,83.63,81.88,85.48,"(-1.75, +1.85)",777.0,2024-08-19
mistral_large_2,80.96,79.36,82.8,"(-1.60, +1.84)",684.0,2024-08-19
gpt-4o-mini,80.09,78.41,81.95,"(-1.68, +1.86)",631.0,2024-08-19
llama3_1_405b_guided,79.47,77.59,81.4,"(-1.88, +1.93)",649.0,2024-08-19
llama3_1_70b_guided,78.29,76.37,80.16,"(-1.92, +1.87)",646.0,2024-08-19
llama3_1_70b_fp8_dyn_guided,75.14,73.12,77.16,"(-2.02, +2.02)",646.0,2024-08-19
llama3_1_70b_awq_int4_guided,74.17,72.32,76.31,"(-1.85, +2.14)",640.0,2024-08-19
llama3_70b_guided,72.34,70.21,74.42,"(-2.13, +2.08)",586.0,2024-08-19
llama3_1_405b,72.2,69.85,74.4,"(-2.35, +2.20)",662.0,2024-08-19
mistral_nemo_fp8_guided,70.01,67.58,72.19,"(-2.43, +2.18)",633.0,2024-08-19
mistral_nemo_guided,69.6,67.33,71.81,"(-2.27, +2.21)",613.0,2024-08-19
llama3_1_70b_fp8_dyn,68.79,66.79,71.25,"(-2.00, +2.46)",689.0,2024-08-19
llama3_1_70b,68.05,65.9,70.28,"(-2.15, +2.23)",681.0,2024-08-19
mistral_nemo_int4_guided,64.41,61.88,66.83,"(-2.53, +2.42)",616.0,2024-08-19
llama3_1_70b_awq_int4,63.82,61.46,66.16,"(-2.36, +2.34)",641.0,2024-08-19
llama3_1_8b_guided,60.9,58.22,63.56,"(-2.68, +2.66)",719.0,2024-08-19
llama3_1_8b_fp8_guided,54.02,51.59,56.82,"(-2.43, +2.80)",649.0,2024-08-19
llama3_70b,52.7,50.16,55.21,"(-2.54, +2.51)",596.0,2024-08-19
llama3_1_8b_int4_guided,52.27,49.29,54.88,"(-2.98, +2.61)",695.0,2024-08-19
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-08-19
mistral_nemo,44.9,42.45,47.28,"(-2.45, +2.38)",541.0,2024-08-19
mistral_nemo_fp8,42.73,40.35,45.09,"(-2.38, +2.36)",552.0,2024-08-19
mistral_nemo_int4,37.74,35.56,40.19,"(-2.18, +2.45)",563.0,2024-08-19
llama3_1_8b,33.83,31.63,36.17,"(-2.20, +2.34)",821.0,2024-08-19
llama3_1_8b_fp8,33.65,31.24,35.88,"(-2.41, +2.23)",692.0,2024-08-19
llama3_1_8b_int4,29.4,27.33,31.48,"(-2.07, +2.08)",685.0,2024-08-19
