model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,88.09,86.71,89.51,"(-1.38, +1.42)",696.0,2024-08-16
gpt-4o-2024-08-06_guided,87.75,86.09,89.29,"(-1.66, +1.54)",625.0,2024-08-16
gpt-4o-2024-08-06,86.55,85.01,87.93,"(-1.54, +1.38)",616.0,2024-08-16
gpt-4o-mini_guided,86.27,84.73,87.76,"(-1.54, +1.49)",678.0,2024-08-16
mistral_large_2_guided,83.63,81.88,85.27,"(-1.75, +1.64)",777.0,2024-08-16
mistral_large_2,80.96,79.13,82.49,"(-1.83, +1.53)",684.0,2024-08-16
gpt-4o-mini,80.09,78.32,82.03,"(-1.77, +1.94)",631.0,2024-08-16
llama3_1_405b_guided,79.47,77.51,81.43,"(-1.96, +1.96)",649.0,2024-08-16
llama3_1_70b_guided,78.29,76.46,80.15,"(-1.83, +1.86)",646.0,2024-08-16
llama3_1_70b_awq_int4_guided,74.17,72.13,76.05,"(-2.04, +1.88)",640.0,2024-08-16
llama3_70b_guided,72.34,70.2,74.61,"(-2.14, +2.27)",583.0,2024-08-16
llama3_1_405b,72.2,70.14,74.27,"(-2.06, +2.07)",662.0,2024-08-16
mistral_nemo_fp8_guided,70.01,67.7,72.23,"(-2.31, +2.22)",633.0,2024-08-16
mistral_nemo_guided,69.6,66.96,72.02,"(-2.64, +2.42)",613.0,2024-08-16
llama3_1_70b,66.08,63.75,68.26,"(-2.33, +2.18)",681.0,2024-08-16
llama3_1_70b_awq_int4,63.82,61.41,66.03,"(-2.41, +2.21)",641.0,2024-08-16
llama3_1_8b_guided,60.9,58.38,63.3,"(-2.52, +2.40)",719.0,2024-08-16
llama3_70b,52.78,50.97,54.56,"(-1.81, +1.78)",605.0,2024-08-16
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-08-16
llama3_70b_awq_int4,49.53,47.21,52.03,"(-2.32, +2.50)",575.0,2024-08-16
mistral_nemo,44.9,42.4,47.51,"(-2.50, +2.61)",541.0,2024-08-16
mistral_nemo_fp8,42.73,40.44,45.04,"(-2.29, +2.31)",552.0,2024-08-16
llama3_1_8b,26.59,24.5,28.56,"(-2.09, +1.97)",853.0,2024-08-16
