model,score,rating_q025,rating_q975,CI,avg_tokens,date
gpt-4o,88.09,86.6,89.44,"(-1.49, +1.35)",696.0,2024-08-17
gpt-4o-2024-08-06_guided,87.75,86.27,89.18,"(-1.48, +1.43)",625.0,2024-08-17
gpt-4o-2024-08-06,86.55,85.08,88.1,"(-1.47, +1.55)",616.0,2024-08-17
gpt-4o-mini_guided,86.27,84.67,87.86,"(-1.60, +1.59)",678.0,2024-08-17
mistral_large_2_guided,83.63,81.89,85.41,"(-1.74, +1.78)",777.0,2024-08-17
mistral_large_2,80.96,78.94,82.6,"(-2.02, +1.64)",684.0,2024-08-17
gpt-4o-mini,80.09,78.17,81.92,"(-1.92, +1.83)",631.0,2024-08-17
llama3_1_405b_guided,79.47,77.49,81.4,"(-1.98, +1.93)",649.0,2024-08-17
llama3_1_70b_guided,78.29,76.17,80.12,"(-2.12, +1.83)",646.0,2024-08-17
llama3_1_70b_fp8_guided,75.14,72.89,77.38,"(-2.25, +2.24)",646.0,2024-08-17
llama3_1_70b_awq_int4_guided,74.17,72.09,76.32,"(-2.08, +2.15)",640.0,2024-08-17
llama3_70b_guided,72.34,70.35,74.53,"(-1.99, +2.19)",583.0,2024-08-17
llama3_1_405b,72.2,69.91,73.99,"(-2.29, +1.79)",662.0,2024-08-17
mistral_nemo_fp8_guided,70.01,67.74,72.25,"(-2.27, +2.24)",633.0,2024-08-17
mistral_nemo_guided,69.6,67.23,71.57,"(-2.37, +1.97)",613.0,2024-08-17
llama3_1_70b_fp8,68.79,66.35,71.23,"(-2.44, +2.44)",689.0,2024-08-17
llama3_1_70b,68.05,65.91,70.15,"(-2.14, +2.10)",681.0,2024-08-17
llama3_1_70b_awq_int4,63.82,61.24,66.03,"(-2.58, +2.21)",641.0,2024-08-17
llama3_1_8b_guided,60.9,58.37,63.35,"(-2.53, +2.45)",719.0,2024-08-17
llama3_70b_fp8,59.59,57.19,61.86,"(-2.40, +2.27)",614.0,2024-08-17
gpt-4-0314,50.0,50.0,50.0,"(-0.00, +0.00)",423.0,2024-08-17
mistral_nemo,44.9,42.34,47.46,"(-2.56, +2.56)",541.0,2024-08-17
mistral_nemo_fp8,42.73,40.06,45.36,"(-2.67, +2.63)",552.0,2024-08-17
llama3_1_8b,26.59,24.63,28.83,"(-1.96, +2.24)",853.0,2024-08-17
